lastName|firstName|bday|studentID|grade
Bennett|Tasha|1969/12/31|1669102519799|6.6786276946
Maldonado|Madaline|1969/12/31|1624111911999|7.0020662048
Wolfe|Isaac|1969/12/31|1645031896399|6.9692332882
Peck|Willa|1969/12/31|1679050991899|7.0215063826
Frank|Blake|1969/12/31|1672111329599|6.9588760493
Fernandez|Paloma|1969/12/31|1647030374699|7.1149438628
Combs|Fuller|1969/12/31|1659081995599|6.9462398052
Cobb|Magee|1969/12/31|1629071530299|7.0952044955
Clayton|Isabella|1969/12/31|1683080460299|7.5065135002
Bailey|Ivory|1969/12/31|1612100147599|7.2432318519
Mccullough|Martena|1969/12/31|1605042333399|7.3602185118
Garza|Iris|1969/12/31|1660112200199|7.016305809
Lawrence|Ramona|1969/12/31|1685092375099|6.93310755
Hunt|Carla|1969/12/31|1634042080499|7.7736452376
Juarez|Karleigh|1969/12/31|1647092882299|7.1376143184
Sawyer|Piper|1969/12/31|1688052158299|6.9662399906
Tran|Stephanie|1969/12/31|1613101339099|7.0787650207
